datetime,open,high,low,close,bearish_engulfing
2014-12-12,1.5,1.5158,1.4958,1.5114,0
2014-12-11,1.4963,1.5127,1.4903,1.5003,0
2014-12-10,1.4914,1.5015,1.4829,1.4966,0
2014-12-09,1.4849,1.4977,1.4827,1.4922,0
2014-12-08,1.4795,1.4864,1.4742,1.4851,0
2014-12-05,1.4763,1.4856,1.473,1.4756,0
2014-12-04,1.4637,1.4839,1.4606,1.4767,0
2014-12-03,1.4654,1.477,1.4595,1.4646,0
2014-12-02,1.4682,1.4745,1.4583,1.4665,0
2014-12-01,1.4658,1.4780000000000002,1.4634,1.4687,0
2014-11-28,1.4578,1.4687,1.4556,1.4631,0
2014-11-27,1.4629,1.4669,1.4515,1.4588,1
2014-11-26,1.4617,1.4704,1.4549,1.4632,0
2014-11-25,1.4429,1.465,1.4419,1.4623,0
2014-11-24,1.4275,1.4459,1.4228,1.4438,0
2014-11-21,1.4545,1.4566,1.4237,1.4291,0
2014-11-20,1.4564,1.4637,1.4515,1.455,0
2014-11-19,1.4366,1.4605,1.4362,1.4567,0
2014-11-18,1.4293,1.4423,1.4275,1.4375,0
2014-11-17,1.4296,1.435,1.4261,1.4296,0
2014-11-14,1.4303,1.4356,1.4279,1.4318,0
2014-11-13,1.426,1.4341,1.4218,1.4306,0
2014-11-12,1.4361,1.4385,1.4239,1.4266,0
2014-11-11,1.4402,1.4445,1.4321,1.4362,0
2014-11-10,1.4416,1.4436,1.4368,1.4407,0
2014-11-07,1.4453,1.4493,1.4334,1.4424,0
2014-11-06,1.4526,1.4598,1.4423,1.4459,0
2014-11-05,1.4351,1.4568,1.4321,1.4531,0
2014-11-04,1.4374,1.4449,1.43,1.4356,0
2014-11-03,1.4303,1.4394,1.4263,1.4380000000000002,0
2014-10-31,1.4269,1.432,1.4216,1.4236,0
2014-10-30,1.4356,1.4422,1.4257,1.4278,0
2014-10-29,1.4377,1.44,1.4311,1.436,0
2014-10-28,1.4423,1.4439,1.435,1.4380000000000002,0
2014-10-27,1.4417,1.4453,1.4375,1.4426,0
2014-10-24,1.443,1.4516,1.4363,1.4406,0
2014-10-23,1.4405,1.4461,1.4369,1.4434,0
2014-10-22,1.4474,1.453,1.4356,1.4409999999999998,0
2014-10-21,1.4566,1.4594,1.4415,1.4485,0
2014-10-20,1.4579,1.4602,1.4503,1.4572,0
2014-10-17,1.4622,1.4655,1.4544,1.4596,0
2014-10-16,1.4535,1.4708,1.4526,1.4627,0
2014-10-15,1.4524,1.4674,1.4448,1.454,0
2014-10-14,1.4534,1.4561,1.4436,1.4528,0
2014-10-13,1.4516,1.4616,1.4438,1.4541,0
2014-10-10,1.444,1.455,1.4438,1.4543,0
2014-10-09,1.4398,1.4479,1.4340000000000002,1.4449,0
2014-10-08,1.4363,1.4506,1.4344,1.4403,0
2014-10-07,1.4435,1.4461,1.4304,1.4368,0
2014-10-06,1.4411,1.4462,1.4344,1.4441,0
2014-10-03,1.4386,1.4495,1.435,1.4428,0
2014-10-02,1.4446,1.4467,1.4337,1.439,0
2014-10-01,1.4439,1.4563,1.4423,1.4447,0
2014-09-30,1.454,1.4591,1.4405,1.4443,1
2014-09-29,1.4466,1.4593,1.4452,1.455,0
2014-09-26,1.4509999999999998,1.4566,1.4447,1.4472,0
2014-09-25,1.4379,1.4526,1.4369999999999998,1.4512,0
2014-09-24,1.4529,1.454,1.4367,1.4387,1
2014-09-23,1.4476,1.456,1.4393,1.4533,0
2014-09-22,1.436,1.4513,1.4333,1.4482,0
2014-09-19,1.4371,1.4446,1.429,1.4372,0
2014-09-18,1.435,1.4409,1.4328,1.4373,0
2014-09-17,1.4248,1.4379,1.4240000000000002,1.436,0
2014-09-16,1.433,1.4385,1.4229,1.425,0
2014-09-15,1.4385,1.4419,1.4291,1.4335,0
2014-09-12,1.4199,1.435,1.4176,1.4344,0
2014-09-11,1.4102,1.4222,1.4006,1.4204,0
2014-09-10,1.4052,1.4194,1.4038,1.4107,0
2014-09-09,1.3892,1.4073,1.3868,1.4059,0
2014-09-08,1.38,1.3931,1.3785,1.3897,0
2014-09-05,1.3841,1.3859,1.3774,1.3809,0
2014-09-04,1.4057,1.4093,1.3798,1.3847,0
2014-09-03,1.4153,1.4181,1.4044,1.4069,0
2014-09-02,1.4065,1.4164,1.4052,1.4158,0
2014-09-01,1.408,1.4093,1.4034,1.4067,0
2014-08-29,1.4078,1.4141,1.4043,1.4063,0
2014-08-28,1.4129,1.4153,1.4056,1.409,0
2014-08-27,1.4144,1.4156,1.4087,1.4131,0
2014-08-26,1.4181,1.4227,1.4136,1.415,0
2014-08-25,1.4185,1.422,1.4142,1.419,0
2014-08-22,1.4269999999999998,1.4291,1.4192,1.4218,0
2014-08-21,1.4275,1.4344,1.4255,1.4279,0
2014-08-20,1.4317,1.4346,1.4252,1.4278,0
2014-08-19,1.4334,1.4343,1.4263,1.432,0
2014-08-18,1.4351,1.4392,1.4303,1.4339,0
2014-08-15,1.4339,1.4413,1.4311,1.4375,0
2014-08-14,1.4357,1.4389,1.433,1.4341,0
2014-08-13,1.4416,1.4436,1.4347,1.4364,0
2014-08-12,1.4445,1.4471,1.439,1.4424,1
2014-08-11,1.4443,1.4464,1.4422,1.4449,0
2014-08-08,1.4413,1.4480000000000002,1.4394,1.4453,0
2014-08-07,1.4303,1.4448,1.4294,1.4418,0
2014-08-06,1.4372,1.439,1.4267,1.4306,0
2014-08-05,1.4377,1.4406,1.4329,1.4377,0
2014-08-04,1.4411,1.443,1.4365,1.4381,1
2014-08-01,1.4396,1.4453,1.4355,1.4425,0
2014-07-31,1.4355,1.4423,1.4345,1.4403,0
2014-07-30,1.4287,1.4380000000000002,1.4273,1.4358,0
2014-07-29,1.4285,1.4315,1.4266,1.4291,0
2014-07-28,1.4283,1.4314,1.4263,1.4289,0
2014-07-25,1.4292,1.4327,1.4256,1.4295,0
2014-07-24,1.4227,1.4314,1.4208,1.4295,0
2014-07-23,1.4331,1.4364,1.422,1.4239,0
2014-07-22,1.4426,1.4453,1.4304,1.4337,0
2014-07-21,1.4403,1.4431,1.4383,1.4428,0
2014-07-18,1.4459,1.4486,1.4369,1.4403,0
2014-07-17,1.4435,1.4476,1.4401,1.4464,0
2014-07-16,1.4469999999999998,1.4534,1.4425,1.4438,0
2014-07-15,1.4494,1.4554,1.4458,1.4483,0
2014-07-14,1.4481,1.452,1.4458,1.4497,0
2014-07-11,1.4477,1.4509999999999998,1.4443,1.4489,0
2014-07-10,1.4486,1.4567,1.4433,1.4486,0
2014-07-09,1.4475,1.4525,1.4455,1.4496,0
2014-07-08,1.4514,1.4533,1.4439,1.4481,0
2014-07-07,1.4511,1.4541,1.4494,1.4516,0
2014-07-04,1.4558,1.4574,1.4498,1.4519,0
2014-07-03,1.4463,1.4625,1.4452,1.4563,0
2014-07-02,1.44,1.4481,1.4391,1.4466,0
2014-07-01,1.4509,1.4542,1.4389,1.4404,1
